[2025-10-20 22:02:34.156] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:35.158] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:36.148] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:37.148] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:38.148] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:39.155] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:40.150] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:41.154] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:42.149] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:43.151] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:44.151] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:45.149] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:46.146] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:47.148] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:48.144] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:49.147] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:50.143] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:51.146] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:52.141] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
