[2025-10-20 22:10:32.562] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:36.551] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:40.541] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:44.529] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:48.518] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:52.507] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:56.496] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:00.487] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:04.477] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:08.468] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:12.457] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:16.448] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:20.437] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:24.427] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:11:28.418] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
