[2025-10-20 22:07:45.899] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:49.889] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:53.880] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:57.870] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:01.861] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:05.851] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:09.841] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:13.831] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:17.820] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:21.811] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:25.801] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:29.791] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:33.785] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:37.777] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:41.771] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:45.764] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:49.756] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:53.749] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:08:57.741] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:01.734] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:05.727] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:09.719] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:13.712] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:17.705] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:21.698] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:25.690] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:29.682] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:33.676] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:37.668] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:41.661] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:45.654] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:49.646] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:53.639] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:09:57.631] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:10:01.625] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:10:05.617] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:10:09.610] [ UPS, Pump State: 122, Mode: 1 ] RAW: [7A 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:10:13.603] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:10:17.596] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:10:21.588] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:10:25.579] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
